Nazwa;KCAL;WEGLOWODANY;BIALKO;TLUSZCZ
Indyk, mieso z piersi bez skory;84;0;19.2;0.7
Indyk, mieso z podudzia ze skora;142;0;15.7;8.9
Indyk, mieso z udzca ze skora;131;0;18.4;6.4
Indyk, skrzydlo;168;0;16.5;11.4
Jablka pieczone;93;20.8;0.3;1.6
Jablka suszone;238;62.3;2.1;2.1
Jablka w kruchym ciescie;348;45.3;4.1;17.4
Jablko;46;12.1;0.4;0.4
Jagody, dzem niskoslodzony;153;38.2;0.3;0.2
Jagodzianki;314;60.6;7.1;5.4
Jaja gotowane;109;0.5;9.8;7.6
Jaja kurze cale;139;0.6;12.5;9.7
Jaja sadzone;168;0.6;9.9;14.2
Jajecznica;119;0.5;9.8;8.7
Jarmuz;29;6.1;3.3;0.7
Jarzyny mrozone;30;7.5;2.8;0.3
Jogurt bananowy 1.5 %;70;10.4;3.7;1.5
Jogurt jagodowy 1.5 %;62;8.8;3.7;1.5
Jogurt morelowy 1.5 %;63;8.9;3.7;1.5
Jogurt naturalny 2 %;60;6.2;4.3;2
Jogurt truskawkowy 1.5 %;60;8.2;3.7;1.5
Jogurt wisniowy 1.5 %;61;8.2;3.7;1.5
Kabanosy;326;0;27.4;24.3
Kabanosy z kurczaka;247;0.1;22.8;17.4
Kaczka, tuszka;308;0;13.5;28.6
Kakao w proszku 16 %;448;50.6;18.2;21.7
Kalafior;22;5;2.4;0.2
Kalafior mrozony;20;4.5;2.2;0.2
Kalafior z wody;33;5.5;2;6.8
Kalarepa;29;6.5;2.2;0.3
Kapusta biala;29;7.4;1.7;0.2
Kapusta biala zasmazana;69;7.2;1.6;4.7
Kapusta czerwona;27;6.7;1.9;0.2
Kapusta kwaszona;12;3.4;1.1;0.2
Kapusta pekinska;12;3.2;1.2;0.2
Kapusta wloska;38;7.8;3.3;0.4
Kapusniak z kapusty kwaszonej;21;1.6;1.4;1.2
Kapusniak z kapusty slodkiej;31;3.2;0.7;2.1
Karmelki nadziewane;378;92;0.3;0.5
Karmelki twarde;399;98.2;0;0
Karp swiezy;110;0;18;4.2
Karp w galarecie z warzywami;137;2.1;26.1;2.9
Karp z wody;102;2;16;3.7
Kasza gryczana;336;69.3;12.6;3.1
Kasza gryczana na sypko;132;25;4.5;2.3
Kasza jaglana;346;71.6;10.5;2.9
Kasza jeczmienna na mleku;63;8.5;2.6;2.2
Kasza jeczmienna perlowoa;327;75;6.9;2.2
Kasza jeczmienna peczak;334;74.9;8.4;2
Kasza manna;348;76.7;8.7;1.3
Kasza manna na mleku;67;9.3;2.7;2.1
Kasza manna na wywarze jarzynowym;21;3.4;0.5;0.8
Kasza perlowoa na sypko;115;23.6;2.2;2
Kaszanka z kurczaka;204;16.4;9.8;11.7
Kawa bez cukru;2;0.3;0.2;0
Kefir 2 %;51;4.7;3.4;2
Keks bakaliowy;384;53.5;6.4;17.6
Ketchup;93;22.2;1.8;1
Kielbasa jalowcowa z kurczaka;236;0.1;19;17.9
Kielbasa krakowska sucha;323;0;25.6;24.8
Kielbasa mazurska z indyka;129;0.1;14.8;7.7
Kielbasa mortadela;205;0;12;17.7
Kielbasa mysliwska sucha;291;0;27.8;20.1
Kielbasa parowkowa;323;0;11;31.5
Kielbasa podlaska z kurczaka;232;0.1;20.7;16.7
Kielbasa podsuszana z kurczaka;162;0;21.7;8.4
Kielbasa podwawelska;247;0.9;17.3;19.6
Kielbasa szynkowa z indyka;88;0.2;17.2;2
Kielbasa szynkowa z kurczaka;110;0;16.2;5
Kielbasa slaska;210;0;18.4;15.3
Kielbasa torunska;263;0;20.9;20.1
Kielbasa zwyczajna;209;0;17.6;15.6
Kielbasa zywiecka;315;0;20.3;26.3
Kisiel porzeczkowy;88;23.3;0.3;0.1
Kisiel waniliowy;121;16.6;3.3;4.5
Kiszka kaszana jeczmienna;194;13;8.5;12.6
Kiszka krwista;404;9.2;14.2;35
Kiszka pasztetowa;384;4.3;12.5;35.7
Kiwi;56;13.9;0.9;0.5
Kiwi, dzem niskoslodzony;154;37.8;0.4;0.2
Klopsiki cielece mielone;250;14.3;16.2;14.6
Klopsiki mielone z miesa mieszanego;272;15.9;13.5;17.5
Kluski kladzione;165;33.8;5.1;1.3
Kluski lane;93;14.9;4.1;2
Kluski lane na mleku;70;6.8;3.6;3.1
Kluski slaskie;169;32.1;2.6;3.8
Knedle ze sliwkami;161;25.8;2.7;5.9
Kompot z jablek;51;13.2;0.2;0.1
Kompot z wisni;69;16.9;0.2;0.1
Koncentrat pomidorowy 30 %;92;16.7;5.6;1.5
Koper;26;6.1;2.8;0.4
Kopytka;143;31.2;4;0.7
Kotlet cielecy panierowany;365;17.4;27.1;21.3
Kotlet mielony z miesa mieszanego;284;11.8;13;21.1
Kotlet schabowy panierowany;351;15.9;19;24.1
Kotlet z kurczaka smazony panierowany;248;7.6;19.7;15.7
Kotlet z kurczaka smazony saute;241;3.3;20.3;16.5
Kotlet z kury mielony;382;14.3;19.9;27.8
Kotlety z jaj;275;10.8;7.9;22.7
Kotlety ziemniaczane;241;29.3;4.3;12.8
Krem z zielonego groszku;63;5.9;3.1;3.8
Krolik, tuszka;156;0;21;8
Krupnik z kaszy gryczanej;43;7.2;1.7;1.2
Krupnik z kaszy jeczmiennej;40;7.4;1.5;0.9
Krupnik z ryzu;43;7.6;1.5;1.1
Kukurydza;110;23.4;3.7;1.5
Kukurydza konserwowa;102;23.6;2.9;1.2
Kulebiak;222;20.1;7.6;12.7
Kura w galarecie;192;1.2;27.3;8.9
Kura, tuszka;202;0;18.5;14.3
Kurczak faszerowany pieczony;199;2.8;20.5;11.9
Kurczak gotowany w jarzynach;99;4.6;7.6;6.4
Kurczak pieczony;179;0.1;16.4;12.7
Kurczak, mieso z piersi bez skory;99;0;21.5;1.3
Kurczak, mieso z uda ze skora;158;0;16.8;10.2
Kurczak, skrzydlo;186;0;19.2;12.2
Kurczak, tuszka;158;0;18.6;9.3
Kurczak, watroba;136;0.6;19.1;6.3
Kurczak, zoladek;114;0.6;18.2;4.2
Lody mleczno-owocowe;116;19.4;3.9;2.5
Lody smietankowe;160;17.6;3.2;8.5
Losos smazony saute;379;4.1;21.1;31.4
Losos swiezy;201;0;19.9;13.6
Losos wedzony;162;0;21.5;8.4
Losos z rusztu;283;0.6;20.7;22.3
Majonez z olejem rzepakowym;714;2.6;1.3;79
Majonez z olejem slonecznikowym;714;2.6;1.3;79
Mak niebieski;478;24.7;20.1;42.9
Makaron bezjajeczny;363;78.5;10;1.6
Makaron czterojajeczny;377;76.2;12;3.4
Makaron dwujajeczny;373;77.4;11.5;2.6
Makaron na mleku;66;8.5;2.9;2.3
Makrela swieza;181;0;18.7;11.9
Makrela wedzona;221;0;20.7;15.5
Makrela, filety z czerwona fasola;128;4.4;12.4;7.3
Makrela, filety z warzywami;124;3.6;12;7.3
Makrela, salatka pikantna;181;6.9;10.2;13.2
Maliny;29;12;1.3;0.3
Mandarynki;42;11.2;0.6;0.2
Marchew;27;8.7;1;0.2
Marchew mrozona;24;7.8;0.9;0.2
Marchew z groszkiem;64;10.8;1.7;3.1
